date,ref_regime,log_return,w_held
2009-02-09,bear,0.0278043878023575,1.0
2009-02-10,bear,0.0163052272085114,1.0
2009-02-11,bear,0.0018687409854948,1.0
2009-02-12,bear,-0.0002288915226529,1.0
2009-02-13,bear,0.0344470903025143,1.0
2009-02-16,bear,0.0241157375626143,1.0
2009-02-17,bear,-0.0338712517657625,1.0
2009-02-18,bear,-0.0453051253415551,1.0
2009-02-19,bear,0.0122134488808088,1.0
2009-02-20,bear,0.0226604191551667,1.0
2009-02-23,bear,0.0291185301673813,1.0
2009-02-24,bear,-0.0451427896018688,1.0
2009-02-25,bear,0.0021844033522742,1.0
2009-02-26,bear,-0.0561609084864185,1.0
2009-02-27,bear,-0.0314624371647205,1.0
2009-03-02,bear,0.0142696788922555,1.0
2009-03-03,bear,-0.006311216214807,1.0
2009-03-04,bear,0.0633523501917689,1.0
2009-03-05,bear,0.0083866641581808,1.0
2009-03-06,bear,-0.0077286373271739,1.0
2009-03-09,bear,-0.039165696318466,1.0
2009-03-10,bear,0.0190272444036923,1.0
2009-03-11,bear,-0.0083247723825683,1.0
2009-03-12,bear,-0.000803188159514,1.0
2009-03-13,bear,-0.0059832084133495,1.0
2009-03-16,bear,0.015539294438863,1.0
2009-03-17,bear,0.0356280826997684,1.0
2009-03-18,bear,0.0062801871564636,1.0
2009-03-19,bear,0.0214961334670865,1.0
2009-03-20,bear,-0.00192637367283,1.0
2009-03-23,bear,0.0239498359104998,1.0
2009-03-24,bear,0.005606510162323,1.0
2009-03-25,bear,-0.0224256321724049,1.0
2009-03-26,bear,0.030373489946212,1.0
2009-03-27,bear,0.0078751137614026,1.0
2009-03-30,bear,-0.0041210346501131,1.0
2009-03-31,bear,0.0096275561025517,1.0
2009-04-01,bear,0.0161336770768467,1.0
2009-04-02,bear,0.0088158339670133,1.0
2009-04-03,bear,-0.0041014547831257,1.0
2009-04-07,bear,0.0044871626124213,1.0
2009-04-08,bear,-0.0377632998454817,1.0
2009-04-09,bear,0.0156039563445083,1.0
2009-04-10,bear,0.030771053435803,1.0
2009-04-13,bear,0.0211362103552041,1.0
2009-04-14,bear,0.0095589430829603,1.0
2009-04-15,bear,0.0060873050377997,1.0
2009-04-16,bear,0.0011242850883876,1.0
2009-04-17,bear,-0.0134324185298436,1.0
2009-04-20,bear,0.0226234154893574,1.0
2009-04-21,bear,-0.0093408746747739,1.0
2009-04-22,bear,-0.0409586825505037,1.0
2009-04-23,bear,0.0064427500085973,1.0
2009-04-24,bear,-0.0078941795035255,1.0
2009-04-27,bear,-0.027199872594613,1.0
2009-04-28,bear,0.0049382123301378,1.0
2009-04-29,bear,0.0323416759186011,1.0
2009-04-30,bear,0.0086014542529528,1.0
2009-05-04,bear,0.0340120523169014,1.0
2009-05-05,bear,0.0057440393091802,1.0
2009-05-06,bear,0.0137830327123211,1.0
2009-05-07,bear,-0.0008887348254995,1.0
2009-05-08,bear,0.0072687452291147,1.0
2009-05-11,bear,-0.0264801585327224,1.0
2009-05-12,bear,0.0232776981872827,1.0
2009-05-13,bear,0.0086171533363593,1.0
2009-05-14,bear,-0.0050640099463476,1.0
2009-05-15,bear,0.0026795109384106,1.0
2009-05-18,bear,0.0057827439568459,1.0
2009-05-19,bear,0.0101812257405388,1.0
2009-05-20,bear,-0.0087387715503094,1.0
2009-05-21,bear,-0.021443307658682,1.0
2009-05-22,bear,-0.0021182598003054,1.0
2009-05-25,bear,0.0046020494213153,1.0
2009-05-26,bear,-0.0087886886524431,1.0
2009-05-27,bear,0.0119779746660773,1.0
2009-06-01,bear,0.0311544033931073,1.0
2009-06-02,bear,0.0033228770517595,1.0
2009-06-03,bear,0.0217570737063161,1.0
2009-06-04,bear,0.0039678873847338,1.0
2009-06-05,bear,-0.0050335573306778,1.0
2009-06-08,bear,0.0022696756168426,1.0
2009-06-09,bear,0.0043309583689181,1.0
2009-06-10,bull,0.0099967435119162,1.0
2009-06-11,bull,-0.0078321513174946,1.0
2009-06-12,bull,-0.0192314747920319,1.0
2009-06-15,bull,0.0194149445448562,1.0
2009-06-16,bull,-0.0016483503805237,1.0
2009-06-17,bull,0.0164897120147402,1.0
2009-06-18,bull,0.0139213214031793,1.0
2009-06-19,bull,0.0059612518288604,1.0
2009-06-22,bull,-0.0007263263248366,1.0
2009-06-23,bull,-0.0002757354075092,1.0
2009-06-24,bull,0.0119832813258645,1.0
2009-06-25,bull,-0.000894690492288,1.0
2009-06-26,bull,0.00438143883738,1.0
2009-06-29,bull,0.0146819500064989,1.0
2009-06-30,bull,-0.0047623835832388,1.0
2009-07-01,bull,0.021191160741269,1.0
2009-07-02,bull,0.0130537993560912,1.0
2009-07-03,bull,0.0134004003266441,1.0
2009-07-06,bull,0.0118364073418304,1.0
2009-07-07,bull,-0.0083256664233126,1.0
2009-07-08,bull,0.0053339206161417,1.0
2009-07-09,bull,0.0142376215060495,1.0
2009-07-10,bull,0.0015137218538651,1.0
2009-07-13,bull,-0.0066846824062189,1.0
2009-07-14,bull,0.0251591797131066,1.0
2009-07-15,bull,0.0107045006957188,1.0
2009-07-16,bull,0.0008130003475163,1.0
2009-07-17,bull,0.0054880785799198,1.0
2009-07-20,bull,0.0195899563420438,1.0
2009-07-21,bull,-0.0164325112128003,1.0
2009-07-22,bull,0.0186608792719955,1.0
2009-07-23,bull,0.0119373821652344,1.0
2009-07-24,bull,0.0021324249917715,1.0
2009-07-27,bull,0.0198024713902223,1.0
2009-07-28,bull,0.0051264535641833,1.0
2009-07-29,bear,-0.0564497119927692,1.0
2009-07-30,bear,0.0190193418211793,1.0
2009-07-31,bear,0.028184302805381,1.0
2009-08-03,bear,0.0157618774252566,1.0
2009-08-04,bear,0.0023586957108567,1.0
2009-08-05,bear,-0.0096578616261925,1.0
2009-08-06,bear,-0.0194265248846526,1.0
2009-08-07,bear,-0.0300151428206721,1.0
2009-08-10,bear,-0.000221785346633,1.0
2009-08-11,bear,0.0037104634289388,1.0
2009-08-12,bear,-0.046076451904049,1.0
2009-08-13,bear,0.0105176646685191,1.0
2009-08-14,bear,-0.0319174326461237,1.0
2009-08-17,bear,-0.0648596439740968,1.0
2009-08-18,bear,0.0119971552018922,1.0
2009-08-19,bear,-0.0513373187773185,1.0
2009-08-20,bear,0.0413848502416596,1.0
2009-08-21,bear,0.0204884868190586,1.0
2009-08-24,bear,0.0107263694497348,1.0
2009-08-25,bear,-0.0332242336375464,1.0
2009-08-26,bear,0.0222105198879656,1.0
2009-08-27,bear,-0.0019905593451361,1.0
2009-08-28,bear,-0.0336240570280474,1.0
2009-08-31,bear,-0.0738742529789808,1.0
2009-09-01,bear,0.0016671042189444,1.0
2009-09-02,bear,0.0142816826165807,1.0
2009-09-03,bear,0.0530212065314746,1.0
2009-09-04,bear,0.0102431965967434,1.0
2009-09-07,bear,0.0092054580484557,1.0
2009-09-08,bear,0.020675646793334,1.0
2009-09-09,bear,0.0071431646529553,1.0
2009-09-10,bear,-0.0098029905753352,1.0
2009-09-11,bear,0.0220670567526658,1.0
2009-09-14,bear,0.0187602098864485,1.0
2009-09-15,bear,0.0043837199659646,1.0
2009-09-16,bear,-0.010323744378844,1.0
2009-09-17,bear,0.019756851907997,1.0
2009-09-18,bear,-0.0362851616654338,1.0
2009-09-21,bear,0.0061759318486303,1.0
2009-09-22,bear,-0.0246728416752695,1.0
2009-09-23,bear,-0.024630285566741,1.0
2009-09-24,bear,0.0037093512368933,1.0
2009-09-25,bear,-0.0076536252360576,1.0
2009-09-28,bear,-0.0286591022645216,1.0
2009-09-29,bear,-0.0039912913178351,1.0
2009-09-30,bear,0.010373505440431,1.0
2009-10-09,bear,0.0512964297647272,1.0
2009-10-12,bear,-0.0017593631122155,1.0
2009-10-13,bear,0.015212742242251,1.0
2009-10-14,bear,0.009019391945123,1.0
2009-10-15,bear,0.0036672116161127,1.0
2009-10-16,bear,0.0012162804778422,1.0
2009-10-19,bear,0.0261191243557471,1.0
2009-10-20,bear,0.0145626033878347,1.0
2009-10-21,bear,-0.0033591147625432,1.0
2009-10-22,bear,-0.0042758745722656,1.0
2009-10-23,bear,0.0182432008855229,1.0
2009-10-26,bear,0.0004024737544623,1.0
2009-10-27,bear,-0.0290035350966363,1.0
2009-10-28,bear,0.0055996263860052,1.0
2009-10-29,bear,-0.0235355929084056,1.0
2009-10-30,bear,0.010851358237175,1.0
2009-11-02,bear,0.0335316908736837,1.0
2009-11-03,bear,0.0150437159984814,1.0
2009-11-04,bear,0.0058157729780045,1.0
2009-11-05,bear,0.0046048548603885,1.0
2009-11-06,bear,0.0052303788187177,1.0
2009-11-09,bear,0.0044916551545093,1.0
2009-11-10,bear,0.0021269868223213,1.0
2009-11-11,bear,-0.000927526212777,1.0
2009-11-12,bear,0.0016799194949526,1.0
2009-11-13,bear,0.0069580106559577,1.0
2009-11-16,bear,0.028372018336734,1.0
2009-11-17,bear,0.0016855106394328,1.0
2009-11-18,bear,0.001368679287147,1.0
2009-11-19,bear,0.0060827900907965,1.0
2009-11-20,bear,-0.0008316344072763,1.0
2009-11-23,bear,0.0114434593739068,1.0
2009-11-24,bear,-0.0375002497462489,1.0
2009-11-25,bear,0.0259508143651607,1.0
2009-11-26,bear,-0.0406924698143638,1.0
2009-11-27,bear,-0.0292595101682888,1.0
2009-11-30,bear,0.038970034987326,1.0
2009-12-01,bear,0.0168600523054909,1.0
2009-12-02,bear,0.0111861811132689,1.0
2009-12-03,bear,0.0001497541622395,1.0
2009-12-04,bear,0.0054447382190973,1.0
2009-12-07,bear,0.009096695233425,1.0
2009-12-08,bear,-0.009964663173105,1.0
2009-12-09,bear,-0.0186578180908662,1.0
2009-12-10,bear,0.0068674305404049,1.0
2009-12-11,bear,-0.0005687999348376,1.0
2009-12-14,bear,0.0070434793727247,1.0
2009-12-15,bear,-0.0058133849006853,1.0
2009-12-16,bear,-0.0057690316736555,1.0
2009-12-17,bear,-0.0249217739610865,1.0
2009-12-18,bear,-0.0284359318285271,1.0
2009-12-21,bear,0.0039386897146867,1.0
2009-12-22,bear,-0.0274780603001366,1.0
2009-12-23,bear,0.01119402137317,1.0
2009-12-24,bear,0.0305255847215307,1.0
2009-12-25,bear,-0.0015269108761522,1.0
2009-12-28,bear,0.0156713531352843,1.0
2009-12-29,bear,0.0057660411336255,1.0
2009-12-30,bear,0.0117981010471558,1.0
2009-12-31,bear,0.0056392839676318,1.0
2010-01-04,bear,-0.0074079102130672,1.0
2010-01-05,bear,0.0086432013395128,1.0
2010-01-06,bear,-0.0051709884800924,1.0
2010-01-07,bear,-0.0200850332404133,1.0
2010-01-08,bear,0.0048273457975668,1.0
2010-01-11,bear,0.0019223147511331,1.0
2010-01-12,bear,0.0165037620981195,1.0
2010-01-13,bear,-0.0273429465396935,1.0
2010-01-14,bear,0.0169850226252405,1.0
2010-01-15,bear,0.0047160870757207,1.0
2010-01-18,bear,0.008084409216989,1.0
2010-01-19,bear,0.0015059999767541,1.0
2010-01-20,bear,-0.0340017112942512,1.0
2010-01-21,bear,0.0039887602857018,1.0
2010-01-22,bear,-0.0163574421517567,1.0
2010-01-25,bear,-0.0131044658524283,1.0
2010-01-26,bear,-0.0285668660195475,1.0
2010-01-27,bear,-0.011952666842078,1.0
2010-01-28,bear,0.0058157383012373,1.0
2010-01-29,bear,0.0015927223692034,1.0
2010-02-01,bear,-0.014642089531417,1.0
2010-02-02,bear,-0.0032545802481271,1.0
2010-02-03,bear,0.0234709019889618,1.0
2010-02-04,bear,-0.0002393242950837,1.0
