level,executable,ann_return,ann_vol,sharpe,calmar,max_dd,turnover_rate,sharpe_delta_vs_prev,max_dd_delta_vs_prev
S0-恒定满仓(基线),True,0.06877178445017385,0.22614504659307771,0.30410475704082457,0.141720711060099,-0.4852627674229636,0.0,,
S0-均线择时(次要参照),True,0.045926929818030614,0.15664505317782665,0.2931910640414123,0.1259309373811848,-0.3646993405521375,0.029057406094968107,-0.01091369299941225,0.12056342687082611
S1-离线HMM(前视上界),False,0.04054237819188669,0.11691576493797255,0.346765709597809,0.10820973567821836,-0.37466479275438713,0.025986298133711314,,
S2-因果BOCPD+MAP硬切,True,0.021127997683873006,0.08942109280017052,0.23627532411270996,0.06941725926380997,-0.3043623143284755,0.09709425939050319,,
S3-全后验+无交易带,True,0.020723003940455273,0.09179736337594054,0.2257472674415247,0.08049840657419227,-0.2574337160494684,0.13654618473895583,,
S4-HSMM久期升级,True,0.021528787520989662,0.0918903034403603,0.23428791412102065,0.09047700137684242,-0.2379476241848567,0.08906213087644696,,
