seed,window,n_obs,sharpe,calmar,max_dd,ann_return,turnover_rate,p_value,bh_fdr_significant
42,0,934,-0.16449595781803975,-0.09666595033437504,-0.14103260028418652,-0.013633050334598941,0.4132762312633833,0.6242235133380434,False
42,1,875,0.1485457457520934,0.1036649154635589,-0.09827988389623454,0.010188175855871538,0.3462857142857143,0.391000080812594,False
42,2,935,0.4429355742948829,0.2072187606303472,-0.15429692247603644,0.031973217044561034,0.2898395721925134,0.1968861601502806,False
7,0,934,0.352891394755026,0.19511714663106902,-0.1424206324785855,0.027788707430613756,0.3576017130620985,0.24853208021843753,False
7,1,875,-0.22408162576127716,-0.10092416191365425,-0.15761160287938292,-0.015906818928469416,0.39885714285714285,0.6618111763836612,False
7,2,935,0.26296694238892504,0.12913074411558678,-0.1564592566307158,0.02020370023249589,0.27593582887700535,0.3063014693928561,False
123,0,934,0.6623532267913896,0.23836315480036788,-0.18257085267748796,0.04351816441879922,0.40364025695931477,0.1012859884118526,False
123,1,875,0.012933043230019653,0.009393062377900212,-0.09200305533351638,0.0008641904377051241,0.29028571428571426,0.49038945004138884,False
123,2,935,-0.34967937870565863,-0.16108830428099868,-0.18069747634923516,-0.029108250052954157,0.2160427807486631,0.7496207743814831,False
2024,0,934,0.43999768740466105,0.16722360229956773,-0.18670996970445708,0.031222313719222468,0.28586723768736616,0.19858435057092064,False
2024,1,875,0.16345145622016224,0.05832256170130974,-0.16331419807726733,0.009524902394061344,0.2777142857142857,0.38038163955988985,False
2024,2,935,0.6560991656763954,0.4712256553365564,-0.09814575031388928,0.04624879551016051,0.35614973262032085,0.10331031478681758,False
31415,0,934,0.1160662510586124,0.045367112191055575,-0.14348672835265108,0.006509578503102236,0.3490364025695932,0.41161735098162494,False
31415,1,875,0.26063351094289217,0.15497365014918438,-0.11588509312906692,0.017959135880089665,0.256,0.3136643226784675,False
31415,2,935,0.5700719780026317,0.3715353982752197,-0.11348317185688361,0.042163015453382455,0.4577540106951872,0.1362255870921048,False
