date,ref_regime,log_return,w_held
2009-02-09,bear,0.0278043878023575,0.0
2009-02-10,bear,0.0163052272085114,0.0
2009-02-11,bear,0.0018687409854948,0.0
2009-02-12,bear,-0.0002288915226529,0.0
2009-02-13,bear,0.0344470903025143,0.0
2009-02-16,bear,0.0241157375626143,0.0
2009-02-17,bear,-0.0338712517657625,0.0
2009-02-18,bear,-0.0453051253415551,0.0
2009-02-19,bear,0.0122134488808088,0.0
2009-02-20,bear,0.0226604191551667,0.0
2009-02-23,bear,0.0291185301673813,0.0
2009-02-24,bear,-0.0451427896018688,0.0
2009-02-25,bear,0.0021844033522742,0.0
2009-02-26,bear,-0.0561609084864185,0.0
2009-02-27,bear,-0.0314624371647205,0.0
2009-03-02,bear,0.0142696788922555,0.0
2009-03-03,bear,-0.006311216214807,0.0
2009-03-04,bear,0.0633523501917689,0.0
2009-03-05,bear,0.0083866641581808,0.0
2009-03-06,bear,-0.0077286373271739,0.0
2009-03-09,bear,-0.039165696318466,0.0
2009-03-10,bear,0.0190272444036923,0.0
2009-03-11,bear,-0.0083247723825683,0.0
2009-03-12,bear,-0.000803188159514,0.0
2009-03-13,bear,-0.0059832084133495,0.0
2009-03-16,bear,0.015539294438863,0.0
2009-03-17,bear,0.0356280826997684,0.0
2009-03-18,bear,0.0062801871564636,0.0
2009-03-19,bear,0.0214961334670865,0.0
2009-03-20,bear,-0.00192637367283,0.0
2009-03-23,bear,0.0239498359104998,0.0
2009-03-24,bear,0.005606510162323,0.0
2009-03-25,bear,-0.0224256321724049,0.0
2009-03-26,bear,0.030373489946212,0.0
2009-03-27,bear,0.0078751137614026,0.0
2009-03-30,bear,-0.0041210346501131,0.0
2009-03-31,bear,0.0096275561025517,0.0
2009-04-01,bear,0.0161336770768467,0.0
2009-04-02,bear,0.0088158339670133,0.0
2009-04-03,bear,-0.0041014547831257,0.0
2009-04-07,bear,0.0044871626124213,0.0
2009-04-08,bear,-0.0377632998454817,0.0
2009-04-09,bear,0.0156039563445083,0.0
2009-04-10,bear,0.030771053435803,0.0
2009-04-13,bear,0.0211362103552041,0.0
2009-04-14,bear,0.0095589430829603,0.0
2009-04-15,bear,0.0060873050377997,0.0
2009-04-16,bear,0.0011242850883876,0.0
2009-04-17,bear,-0.0134324185298436,0.0
2009-04-20,bear,0.0226234154893574,0.0
2009-04-21,bear,-0.0093408746747739,0.0
2009-04-22,bear,-0.0409586825505037,0.0
