mode,bounds,ann_return,ann_vol,sharpe,calmar,max_dd,n_rebalances,turnover_rate
long_only,"(0.0, 1.0)",0.021528787520989662,0.0918903034403603,0.23428791412102065,0.09047700137684242,-0.2379476241848567,377,0.08906213087644696
leverage,"(-1.0, 2.0)",0.02396391127906818,0.11764897892759549,0.2036899214723848,0.07733732093380165,-0.30986218541990285,596,0.14079848806992676
