age,pred_mu,pred_scale,z_t,log_pi
1,0.0,1.4142135623730951,1.4929124591590914,-2.0506253826989567
2,0.7464562295795457,1.2478769581485636,0.9065985525534742,-1.2332818676080202
3,0.7998370039041885,1.0216801273329492,0.1048681632649634,-1.2759274769697158
4,0.6260947937443823,0.9345757212307338,-0.0140877064938724,-1.1700524957973006
5,0.4980582936967314,0.8742532838651311,2.0248086519604747,-2.2644475358172715
6,0.7525166867406886,0.9801416764478676,1.4088818077670442,-1.182858816079802
7,0.8462831326015966,0.9360506994033462,-1.8486429747719997,-4.083703431751531
8,0.509417369179897,1.2494065974820199,-2.135123900770544,-3.1892990833990207
9,0.21557945029651465,1.441629741028474,0.5764859492916653,-1.344034286961846
10,0.2516701001960297,1.371929114162815,1.0604858136987512,-1.444500036477817
11,0.32519880142354984,1.3285879938812113,1.3334589196943762,-1.5285682546247863
12,0.40922047794611865,1.3021930026217907,-1.7996587190944655,-2.6018112203839765
13,0.2393066935583814,1.3826481747390515,0.087248926369327,-1.267257698254884
14,0.22844542447344893,1.3329285079064666,-1.9532543884365408,-2.5375996172682673
15,0.08299877027944963,1.3980050270788176,-1.057045931166561,-1.6157401896832666
16,0.011745976439073963,1.381456237708936,0.4799582158139378,-1.317383792373651
17,0.039287872872889484,1.344729770259424,-0.2153490292001711,-1.2479190289868893
18,0.02514137831327501,1.30814343351605,1.9776177912995176,-2.309388856253906
19,0.12790329478623516,1.3458284533859628,0.2627087739002719,-1.2337091775216522
20,0.134643568741937,1.3120802983099205,-0.2507633935635003,-1.2475552413006599
21,0.11629085625120189,1.283087040949128,-1.2454607356243168,-1.7537777007049105
22,0.0543930566204965,1.285277427046893,0.6033670627060678,-1.2755875969710582
23,0.07826149166769525,1.2620016317675142,-0.2638012478574377,-1.2002568126886815
24,0.0640088775208147,1.237319656168121,-0.0254533010833694,-1.1446014918068057
25,0.060430390376647346,1.212447470187546,-0.197110466093085,-1.1445998139685245
26,0.05052497282011918,1.1899337076256113,0.5181278466829629,-1.1819357706263565
27,0.06784359777800228,1.171024435190823,1.1699317047394766,-1.5373197826908906
28,0.10720388731234065,1.1679694198464576,0.2191860200467308,-1.087578216946731
29,0.11106534016525065,1.1478372380087483,0.7435258648748849,-1.2212230325361566
30,0.13214735765557178,1.1342406005091268,-0.0675941938382713,-1.0689630756281896
31,0.12570408180093168,1.1163544051202987,0.8478013342569428,-1.2511552419694731
32,0.14826962094018203,1.1059327485906447,0.2144097065768973,-1.0290446261608222
33,0.15027386595947645,1.0891063026692624,-0.8381636701981928,-1.4305463775073568
34,0.12120217371954502,1.0858895375247586,1.279440045146778,-1.5842697550938134
35,0.15429468433175167,1.0875200221441124,0.3572717031785372,-1.0276747844900291
36,0.1599329348552735,1.0728278854484525,-0.186064214688029,-1.0493293307464435
37,0.15058166054329236,1.0597172837905589,0.4390416234548145,-1.0215044817383716
38,0.15817271219885873,1.0466996519588325,0.9070295700296632,-1.2317761452989793
39,0.17737417009195627,1.0399513497460275,0.4955127421756916,-1.0122681487179415
40,0.18532763439404965,1.0280702241454143,-0.2321466772445902,-1.0370092485335751
41,0.17514533411018038,1.017495363242894,0.316205522366267,-0.9520707808989146
42,0.17850391002103957,1.0055393435320092,-2.19545889604476,-3.6117180160620124
43,0.12329547267067215,1.0562244104636136,0.914904380921381,-1.264738502808756
44,0.14128658422182463,1.050796591396635,1.7271716414741205,-2.1097200369403994
45,0.17652847438298677,1.0650276448515816,1.191173183418884,-1.4465362866631588
46,0.1985859680576802,1.0637290656984464,0.5406349718876531,-1.0387792875508717
47,0.20586360643704132,1.0535088925272829,0.368432561524663,-0.9884239954184532
48,0.20925045966803346,1.0427356292441412,0.0678087201624342,-0.975273646152649
49,0.20636389355567428,1.0322343698878507,-0.7984301087611746,-1.43438731418082
50,0.18626801350933733,1.0314969771343077,1.318721939596457,-1.562183264898662
51,0.20847299245222203,1.0333327622166824,-0.5495431684917047,-1.2293585668598785
52,0.19389575858791577,1.0286300186355923,-2.0634017293860984,-3.3000301450037535
53,0.15130523994689662,1.0641623304214392,0.339734507300186,-1.0017180839994926
54,0.15479467082380938,1.0545689460694272,-0.4366762286568122,-1.136304153170526
55,0.14404065446961625,1.0479219513438918,-1.4195805477478105,-2.0813511186895335
56,0.1161188472871622,1.0589666039205947,0.2577950573375249,-0.9897228949542494
57,0.11860439483190541,1.049801109198232,1.5899674580163343,-1.954427110631898
58,0.143972723507499,1.058188744227153,0.4272167827648999,-1.0161426858169333
59,0.1487734702745736,1.0498195622350093,1.5922934539817697,-1.9179832950745628
60,0.17283213666969352,1.0573092141490303,0.2696084737094579,-0.9830212345305273
61,0.17441863399821425,1.0486789393145641,0.643093838172294,-1.0718180860544555
62,0.18197791148489295,1.0418616416761934,-0.0464568434160905,-0.9883246644338411
63,0.17835196299440118,1.0339540864292596,0.3827181135374491,-0.9760678986140648
64,0.18154518409663628,1.0261575724695353,-1.375316631661306,-2.097007894039818
65,0.1575934638542064,1.0361057895277386,1.201782678488979,-1.469795666236563
66,0.17341451256079385,1.0361079519088263,0.4452772986468394,-0.9930607837626452
67,0.17747216608446617,1.028874951846882,-0.2610032944203152,-1.0431037670204057
68,0.17102399754763117,1.0226446325426024,0.1381046108648783,-0.9454792609889797
69,0.17054690498701158,1.0152147413607946,0.3031898519882651,-0.9462662496126476
70,0.1724418042298866,1.0080600167126643,0.5475778971127947,-1.0006369606231684
71,0.1777254111718994,1.001911516904734,-0.4704878658441878,-1.1359020430546816
72,0.16872244899112043,0.9978173363231951,-1.2927969185261856,-1.9918971781365664
73,0.1487016357374587,1.0054155924963328,-0.1275155366368227,-0.9659463797488391
74,0.14496897124591437,0.9991082672416145,0.2802795930638029,-0.9306716095496551
75,0.14677311287015288,0.9925465378877492,-0.5832467641018632,-1.1878163355636542
76,0.13716758817315267,0.9894979058865137,0.7899299152223308,-1.1314286775119873
77,0.14564502099197316,0.9858257066792924,2.069837584154249,-2.791529488968143
78,0.17031415641713055,1.0031212685677589,0.2211416648199461,-0.9265193331406162
79,0.17095754259944468,0.9967683766040186,1.5574670504256036,-1.8867086735560363
80,0.18828891144727167,1.0024258516146483,0.2841844032500988,-0.9290797631704396
81,0.1894728064078004,0.9962750962124723,-0.3625453344623021,-1.073340690406738
82,0.182740877860604,0.9920334950528504,0.1637845423142356,-0.9141368692708717
83,0.18251248827570798,0.9860414489955008,0.3132668061404227,-0.9167535844416458
