regime,age,hazard_negbinom,hazard_geometric,remaining_negbinom,remaining_geometric
bull,1,0.002706319797356156,0.005627532575094167,177.1737079985758,177.67479349972058
bull,2,0.00317673230888477,0.005627532974422705,176.73514825415026,177.67466352744074
bull,3,0.0034482073564062166,0.005627533376011222,176.3432162296055,177.67453289135406
bull,4,0.003641672733741958,0.005627533779872513,175.98409270156912,177.6744015881098
bull,5,0.003792746760886073,0.005627534186019437,175.65028976913976,177.6742696143405
bull,6,0.003916942416027399,0.005627534594464931,175.33707499529098,177.67413696666208
bull,7,0.004022473296056597,0.0056275350052220055,175.04117344116847,177.67400364167352
bull,8,0.004114238982838844,0.005627535418303741,174.76017858053237,177.67386963595698
bull,9,0.004195408448020171,0.005627535833723295,174.49224481855816,177.67373494607747
bull,10,0.004268155154437197,0.0056275362514938984,174.23591071898147,177.67359956858309
bull,11,0.004334037694175049,0.005627536671628858,173.9899898935894,177.6734635000047
bull,12,0.00439421355856385,0.005627537094141555,173.7534998786039,177.67332673685587
bull,13,0.004449566995883416,0.0056275375190454465,173.52561372236332,177.67318927563295
bull,14,0.0045007894322749405,0.005627537946354065,173.3056258517507,177.67305111281485
bull,15,0.00454843218370374,0.00562753837608102,173.09292729302177,177.67291224486286
bull,16,0.004592942214816195,0.005627538808239999,172.88698723508617,177.67277266822086
bull,17,0.00463468711449374,0.005627539242844768,172.68733902007875,177.672632379315
bull,18,0.004673972981910076,0.005627539679909166,172.49356930255212,177.67249137455366
bull,19,0.004711057516840755,0.005627540119447116,172.30530952618702,177.67234965032728
bull,20,0.004746159784302275,0.005627540561472616,172.12222912805908,177.6722072030086
bull,21,0.004779467622073445,0.005627541005999745,171.94403005250382,177.67206402895212
bull,22,0.004811143344944312,0.005627541453042663,171.7704422727023,177.67192012449445
bull,23,0.00484132819673315,0.005627541902615606,171.6012200981573,177.6717754859537
bull,24,0.004870145867286762,0.005627542354732894,171.43613910251102,177.6716301096301
bull,25,0.0048977053014768665,0.005627542809408926,171.2749935464137,177.6714839918052
bull,26,0.004924102965230788,0.005627543266658186,171.11759419941419,177.67133712874224
bull,27,0.004949424690309406,0.005627543726495236,170.96376648641032,177.67118951668579
bull,28,0.004973747188774825,0.00562754418893472,170.81334890030848,177.67104115186194
bull,29,0.004997139305918406,0.0056275446539913706,170.6661916347177,177.67089203047792
bull,30,0.005019663064230802,0.005627545121679999,170.5221553998112,177.6707421487222
bull,31,0.005041374539028692,0.0056275455920154985,170.38111039167117,177.67059150276438
bull,32,0.005062324597407711,0.005627546065012852,170.2429353910361,177.67044008875496
bull,33,0.005082559525432721,0.005627546540687124,170.10751697176866,177.6702879028254
